experiment,plant,date_time,camera,view_option,hash,date,time
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-14 11:53:45,msp,sw755,bWHDZzwVKVkCic-q9Kor-CesBZzI.jpg,2019-05-14,11:53:45
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-15 06:09:30,msp,sw755,byohrOboClBZN6EqYPT6xQMhHg.jpg,2019-05-15,06:09:30
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-16 06:09:32,msp,sw755,bqYJYVsxPR7GU-EiKHdiFaF7Vlho.jpg,2019-05-16,06:09:32
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-17 06:09:33,msp,sw755,byI2ntiIxlj0xhBkokY5j3yVrg8U.jpg,2019-05-17,06:09:33
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-18 06:09:25,msp,sw755,bixiz9unk3WG8BOLejJq1FjzVmM8.jpg,2019-05-18,06:09:25
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-04 06:10:23,msp,sw755,bKbFZ2UVLEzk3dIz7I4jleq5GclY.jpg,2019-05-04,06:10:23
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-05 06:11:04,msp,sw755,bDtbcSdLEc5x-M2j7GZvCrBwcH60.jpg,2019-05-05,06:11:04
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-07 06:11:24,msp,sw755,bq2HJBT7DzaxpfloRAgLQgiALpdM.jpg,2019-05-07,06:11:24
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-08 12:38:47,msp,sw755,b9s6E4pW4zXMGnremykoEDhX7JDU.jpg,2019-05-08,12:38:47
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-09 06:10:16,msp,sw755,benjD4lnp-2bAex7jR6erbFUKqY0.jpg,2019-05-09,06:10:16
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-10 06:10:22,msp,sw755,bdS9S0THXh5JYIpqBIK6wF7WmXM.jpg,2019-05-10,06:10:22
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-11 06:10:27,msp,sw755,bCR306ZPl6esNUEEnZYkmUBQdMg.jpg,2019-05-11,06:10:27
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-12 06:10:26,msp,sw755,bQ76LO9uhXObv-Se1gTvSqNYNs.jpg,2019-05-12,06:10:26
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-14 11:54:36,msp,sw755,b4tjdX5UsyRolRCWkcTm2CEjI7I.jpg,2019-05-14,11:54:36
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-15 06:10:21,msp,sw755,bjOGf2ajjM9ZH-pTneV0xKPJtFk4.jpg,2019-05-15,06:10:21
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-16 06:10:25,msp,sw755,bSoFCvcLCCdODkEbIA6tXcP4q4yE.jpg,2019-05-16,06:10:25
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-17 06:10:24,msp,sw755,b2sFVRbOa1mpCSjNT0lHQYWhFuqE.jpg,2019-05-17,06:10:24
10ac_mpo1_1904,10ac112_13_mock_xx_112,2019-05-18 06:10:16,msp,sw755,bSpm40BjQP35r--uS3LITdoAhsK4.jpg,2019-05-18,06:10:16
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-04 06:11:15,msp,sw755,bGkX4Czhc4Q25lcbBP3F9VsC6p8.jpg,2019-05-04,06:11:15
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-05 06:11:55,msp,sw755,bU7dSSPDM6X855RYFeb5krbfSgMM.jpg,2019-05-05,06:11:55
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-07 06:12:16,msp,sw755,bfKVNkPxAfTPe1ucZ3npulBh1A5w.jpg,2019-05-07,06:12:16
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-08 12:39:39,msp,sw755,bBefHxfTCW3SkfEEsJC2d8Odu3L4.jpg,2019-05-08,12:39:39
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-09 06:11:07,msp,sw755,baCVnqlozTgVVyxF69RrsBSJYbE.jpg,2019-05-09,06:11:07
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-10 06:11:13,msp,sw755,b0WiCoV5KSDqa6XfcXncepw5EcUk.jpg,2019-05-10,06:11:13
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-11 06:11:19,msp,sw755,bjfzTACtPBBis-vdfoFGT2tEh6vM.jpg,2019-05-11,06:11:19
10ac_mpo1_1904,10ac113_cc_mock_xx_113,2019-05-12 06:11:18,msp,sw755,btgpSiFahmXprqjF1ccizDkKMosI.jpg,2019-05-12,06:11:18
